Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Metafield: miko.name_ar [single_line_text_field],Metafield: miko.weight_label [single_line_text_field],Metafield: miko.prep_methods [list.single_line_text_field],Metafield: miko.quality_tags [list.single_line_text_field]
regular-chicken-strips,Regular Chicken Strips,"<p>Regular Chicken Strips (استربس عادي) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Marinated Chicken,"Meat & Poultry, Marinated Chicken, Strips",TRUE,Weight,500g,MIKO-REGULAR-CHICKEN-ST-1,500,,deny,manual,155,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/chicken-strips?lock=136,1,Regular Chicken Strips — استربس عادي,FALSE,Regular Chicken Strips (استربس عادي) | Miko Foods,"Buy Regular Chicken Strips — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,استربس عادي,500g / 1kg,"[""Chilled"",""Marinated""]","[""Halal""]"
regular-chicken-strips,,,,,,,,Weight,1kg,MIKO-REGULAR-CHICKEN-ST-2,1000,,deny,manual,225,,TRUE,TRUE,g,,,,,,,,,,,
spicy-chicken-strips,Spicy Chicken Strips,"<p>Spicy Chicken Strips (استربس حار) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Marinated Chicken,"Meat & Poultry, Marinated Chicken, Strips",TRUE,Weight,500g,MIKO-SPICY-CHICKEN-STRI-1,500,,deny,manual,155,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/chicken-strips?lock=137,1,Spicy Chicken Strips — استربس حار,FALSE,Spicy Chicken Strips (استربس حار) | Miko Foods,"Buy Spicy Chicken Strips — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,استربس حار,500g / 1kg,"[""Chilled"",""Marinated""]","[""Halal"",""Spicy""]"
spicy-chicken-strips,,,,,,,,Weight,1kg,MIKO-SPICY-CHICKEN-STRI-2,1000,,deny,manual,225,,TRUE,TRUE,g,,,,,,,,,,,
chicken-pane,Chicken Pane,"<p>Chicken Pane (بانيه) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Marinated Chicken,"Meat & Poultry, Marinated Chicken, Breaded",TRUE,Title,Default Title,MIKO-CHICKEN-PANE-1,500,,deny,manual,150,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/chicken-schnitzel?lock=138,1,Chicken Pane — بانيه,FALSE,Chicken Pane (بانيه) | Miko Foods,"Buy Chicken Pane — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,بانيه,500g,"[""Frozen"",""Pan Searing""]","[""Halal""]"
cordon-bleu,Cordon Bleu,"<p>Cordon Bleu (كوردن بلو) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Marinated Chicken,"Meat & Poultry, Marinated Chicken, Breaded, Chef",TRUE,Title,Default Title,MIKO-CORDON-BLEU-1,500,,deny,manual,175,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/cordon-bleu?lock=139,1,Cordon Bleu — كوردن بلو,FALSE,Cordon Bleu (كوردن بلو) | Miko Foods,"Buy Cordon Bleu — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كوردن بلو,500g,"[""Frozen"",""Pan Searing""]","[""Halal"",""Chef""]"
chicken-kiev,Chicken Kiev,"<p>Chicken Kiev (تشيكن كييف) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Marinated Chicken,"Meat & Poultry, Marinated Chicken, Breaded",TRUE,Title,Default Title,MIKO-CHICKEN-KIEV-1,500,,deny,manual,150,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/chicken-kiev?lock=140,1,Chicken Kiev — تشيكن كييف,FALSE,Chicken Kiev (تشيكن كييف) | Miko Foods,"Buy Chicken Kiev — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,تشيكن كييف,500g,"[""Frozen"",""Pan Searing""]","[""Halal""]"
shish-tawook,Shish Tawook,"<p>Shish Tawook (شيش طاووق) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Marinated Chicken,"Meat & Poultry, Marinated Chicken, Grill",TRUE,Title,Default Title,MIKO-SHISH-TAWOOK-1,500,,deny,manual,138,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/shish-taouk?lock=141,1,Shish Tawook — شيش طاووق,FALSE,Shish Tawook (شيش طاووق) | Miko Foods,"Buy Shish Tawook — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,شيش طاووق,500g,"[""Chilled"",""Grilling"",""Marinated""]","[""Halal""]"
lamb-shoulder,Lamb Shoulder,"<p>Lamb Shoulder (كتف ضاني) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Baladi Lamb,"Meat & Poultry, Baladi Lamb",FALSE,Title,Default Title,MIKO-LAMB-SHOULDER-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=142,1,Lamb Shoulder — كتف ضاني,FALSE,Lamb Shoulder (كتف ضاني) | Miko Foods,"Buy Lamb Shoulder — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,كتف ضاني,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-neck,Lamb Neck,"<p>Lamb Neck (رقبة ضاني) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Baladi Lamb,"Meat & Poultry, Baladi Lamb",FALSE,Title,Default Title,MIKO-LAMB-NECK-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=143,1,Lamb Neck — رقبة ضاني,FALSE,Lamb Neck (رقبة ضاني) | Miko Foods,"Buy Lamb Neck — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,رقبة ضاني,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-leg,Lamb Leg,"<p>Lamb Leg (فخذة ضاني) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Baladi Lamb,"Meat & Poultry, Baladi Lamb",FALSE,Title,Default Title,MIKO-LAMB-LEG-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=144,1,Lamb Leg — فخذة ضاني,FALSE,Lamb Leg (فخذة ضاني) | Miko Foods,"Buy Lamb Leg — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,فخذة ضاني,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-ribs-chops,Lamb Ribs (Chops),"<p>Lamb Ribs (Chops) (ريش ضاني) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Baladi Lamb,"Meat & Poultry, Baladi Lamb",FALSE,Title,Default Title,MIKO-LAMB-RIBS-CHOPS-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=145,1,Lamb Ribs (Chops) — ريش ضاني,FALSE,Lamb Ribs (Chops) (ريش ضاني) | Miko Foods,"Buy Lamb Ribs (Chops) — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,ريش ضاني,,"[""Chilled"",""Grilling""]","[""Halal"",""Fresh Daily""]"
lamb-fat-alya,Lamb Fat (Alya),"<p>Lamb Fat (Alya) (لية ضاني) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Baladi Lamb,"Meat & Poultry, Baladi Lamb",FALSE,Title,Default Title,MIKO-LAMB-FAT-ALYA-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=146,1,Lamb Fat (Alya) — لية ضاني,FALSE,Lamb Fat (Alya) (لية ضاني) | Miko Foods,"Buy Lamb Fat (Alya) — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,لية ضاني,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-leg-steak-top-round,Lamb Leg Steak (Top Round),"<p>Lamb Leg Steak (Top Round) (وش فخذة) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-LEG-STEAK-TOP-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=147,1,Lamb Leg Steak (Top Round) — وش فخذة,FALSE,Lamb Leg Steak (Top Round) (وش فخذة) | Miko Foods,"Buy Lamb Leg Steak (Top Round) — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,وش فخذة,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-shank-samana,Lamb Shank (Samana),"<p>Lamb Shank (Samana) (سمانة) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-SHANK-SAMANA-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=148,1,Lamb Shank (Samana) — سمانة,FALSE,Lamb Shank (Samana) (سمانة) | Miko Foods,"Buy Lamb Shank (Samana) — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,سمانة,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-fillet-cut,Lamb Fillet Cut,"<p>Lamb Fillet Cut (عرق فيليتو) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-FILLET-CUT-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=149,1,Lamb Fillet Cut — عرق فيليتو,FALSE,Lamb Fillet Cut (عرق فيليتو) | Miko Foods,"Buy Lamb Fillet Cut — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,عرق فيليتو,,"[""Chilled"",""Pan Searing""]","[""Halal"",""Fresh Daily""]"
lamb-roast-cut,Lamb Roast Cut,"<p>Lamb Roast Cut (عرق روستو) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-ROAST-CUT-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=150,1,Lamb Roast Cut — عرق روستو,FALSE,Lamb Roast Cut (عرق روستو) | Miko Foods,"Buy Lamb Roast Cut — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,عرق روستو,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-escalope,Lamb Escalope,"<p>Lamb Escalope (سكالوب) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-ESCALOPE-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=151,1,Lamb Escalope — سكالوب,FALSE,Lamb Escalope (سكالوب) | Miko Foods,"Buy Lamb Escalope — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,سكالوب,,"[""Chilled"",""Pan Searing""]","[""Halal"",""Fresh Daily""]"
lamb-shank-mozza,Lamb Shank (Mozza),"<p>Lamb Shank (Mozza) (موزة) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-SHANK-MOZZA-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=152,1,Lamb Shank (Mozza) — موزة,FALSE,Lamb Shank (Mozza) (موزة) | Miko Foods,"Buy Lamb Shank (Mozza) — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,موزة,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-kabab-halla,Lamb Kabab Halla,"<p>Lamb Kabab Halla (كباب حلة ضاني) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-KABAB-HALLA-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=153,1,Lamb Kabab Halla — كباب حلة ضاني,FALSE,Lamb Kabab Halla (كباب حلة ضاني) | Miko Foods,"Buy Lamb Kabab Halla — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,كباب حلة ضاني,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-entrec-te,Lamb Entrecôte,"<p>Lamb Entrecôte (انتركوت) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-ENTREC-TE-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=154,1,Lamb Entrecôte — انتركوت,FALSE,Lamb Entrecôte (انتركوت) | Miko Foods,"Buy Lamb Entrecôte — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,انتركوت,,"[""Chilled"",""Grilling""]","[""Halal"",""Fresh Daily""]"
lamb-trotters,Lamb Trotters,"<p>Lamb Trotters (كوارع) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-TROTTERS-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=155,1,Lamb Trotters — كوارع,FALSE,Lamb Trotters (كوارع) | Miko Foods,"Buy Lamb Trotters — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,كوارع,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
lamb-knuckle-akkawi,Lamb Knuckle (Akkawi),"<p>Lamb Knuckle (Akkawi) (عكاوي) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Premium Lamb,"Meat & Poultry, Premium Lamb",FALSE,Title,Default Title,MIKO-LAMB-KNUCKLE-AKKAW-1,0,,deny,manual,,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/lamb?lock=156,1,Lamb Knuckle (Akkawi) — عكاوي,FALSE,Lamb Knuckle (Akkawi) (عكاوي) | Miko Foods,"Buy Lamb Knuckle (Akkawi) — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",draft,عكاوي,,"[""Chilled""]","[""Halal"",""Fresh Daily""]"
